1a1r_A|P27958|AC=BC	1a1r_C|O39914|AC=BC
1a6a_A|P01903|AC	1a6a_C|P04233|AC
1a6a_B|P01911|BC	1a6a_C|P04233|BC
1abo_A|P00520|AC	1abo_C|P55194|AC
1ao7_A|P04439|AC	1ao7_C|P14079|AC
1axc_A|P12004|AB	1axc_B|P38936|AB
1b8h_B|O80164|BD	1b8h_D|Q38087|BD
1be3_A|P31800|AK	1be3_K|P07552|AK
1be3_J|P00130|JK	1be3_K|P07552|JK
1bw8_A|P84092|AP	1bw8_P|A8IP97|AP
1cdk_A|P36887|AI	1cdk_I|P61926|AI
1cff_A|P0DP33|AB	1cff_B|P23634|AB
1cmx_C|P35127|CD	1cmx_D|P0CG48|CD
1cn3_A|P49302|AF=BF=DF=EF	1cn3_F|P12908|AF=BF=DF=EF
1cqg_A|P10599|AB	1cqg_B|P27695|AB
1czz_A|Q12933|AD	1czz_D|P25942|AD
1d01_D|Q12933|DG	1d01_G|P28908|DG
1d4t_A|O60880|AB	1d4t_B|Q13291|AB
1dpu_A|P15927|AB	1dpu_B|P13051|AB
1e91_A|Q62141|AB	1e91_B|Q05195|AB
1ed3_A|P16391|AC	1ed3_C|P05504|AC
1ee5_A|Q02821|AB	1ee5_B|P05221|AB
1ejl_I|P52293|IA	1ejl_A|P03070|IA
1f2s_E|P00760|EI	1f2s_I|P10295|EI
1f3j_A|P04228|AP	1f3j_P|P00698|AP
1f3j_B|Q31135|BP	1f3j_P|P00698|BP
1f4v_A|P0AE67|AD	1f4v_D|P06974|AD
1fo0_B|P04214|BP	1fo0_P|Q8CDD8|BP
1fo0_H|P01901|HP	1fo0_P|Q8CDD8|HP
1g3f_A|P98170|AB	1g3f_B|Q9NR28|AB
1g9i_E|P00760|EI	1g9i_I|P01062|EI
1gng_A|P49841|AX=BX	1gng_X|Q92837|AX=BX
1h25_B|P20248|BE	1h25_E|P06400|BE
1hr8_B|P10507|BO	1hr8_O|P04037|BO
1hr9_B|P10507|BO	1hr9_O|P17505|BO
1hv2_A|Q03071|AB	1hv2_B|P40338|AB
1i4o_A|P55210|AC	1i4o_C|P98170|AC
1i5h_W|Q62940|WB	1i5h_B|P37090|WB
1iq5_A|P0DP33|AB	1iq5_B|Q3Y416|AB
1isq_A|O73947|AB	1isq_B|Q9UWR2|AB
1jdp_A|P17342|AH=BH	1jdp_H|P23582|AH=BH
1jh4_A|P11940|AB	1jh4_B|Q9H074|AB
1jmq_A|P46937|AP	1jmq_P|Q96G27|AP
1jpl_A|Q9NZ52|AE	1jpl_E|P11717|AE
1jpw_A|P35222|AD	1jpw_D|Q9NQB0|AD
1k8d_A|P14429|AP	1k8d_P|P84099|AP
1kj2_H|P01901|HP	1kj2_P|O08582|HP
1kjv_A|Q95565|AP	1kjv_P|Q9JJP9|AP
1kkq_A|Q07869|AE	1kkq_E|Q9Y618|AE
1kpu_A|P01901|AP	1kpu_P|Q88992|AP
1kzz_A|Q13114|AB	1kzz_B|Q92844|AB
1l2z_A|O95400|AB	1l2z_B|P06729|AB
1l4a_A|P47194|AE	1l4a_E|Q95PA1|AE
1l4a_B|O46345|BE	1l4a_E|Q95PA1|BE
1l4w_A|P60615|AB	1l4w_B|P02711|AB
1lb5_A|Q9Y4K3|AB	1lb5_B|Q9Y6Q6|AB
1leg_A|P01901|AP	1leg_P|Q62425|AP
1m45_A|P53141|AB	1m45_B|P19524|AB
1mvu_A|Q6KB05|AP	1mvu_P|P21448|AP
